Ref,Val,Package,PosX,PosY,Rot,Side
"C171","100nF","C_0402_1005Metric",63.099600,176.684400,0.000000,top
"C172","100nF","C_0402_1005Metric",60.254800,178.919600,0.000000,top
"C173","100nF","C_0402_1005Metric",60.254800,181.053200,0.000000,top
"C174","100nF","C_0402_1005Metric",63.099600,175.541400,0.000000,top
"C175","100nF","C_0402_1005Metric",63.099600,177.700400,0.000000,top
"C176","100nF","C_0402_1005Metric",60.254800,179.935600,0.000000,top
"C177","100nF","C_0402_1005Metric",60.254800,182.069200,0.000000,top
"C178","18pF","C_0402_1005Metric",68.226024,174.752665,-45.000000,top
"C179","18pF","C_0402_1005Metric",69.699224,173.304865,135.000000,top
"C180","100nF","C_0402_1005Metric",61.319000,173.433200,180.000000,top
"C181","10uF","C_0402_1005Metric",39.119400,170.766200,0.000000,top
"C182","10uF","C_0402_1005Metric",39.122000,169.674000,0.000000,top
"C183","100nF","C_0402_1005Metric",39.122000,168.683400,0.000000,top
"C184","100nF","C_0402_1005Metric",44.303600,156.593000,90.000000,top
"C185","100nF","C_0402_1005Metric",38.156800,167.616600,0.000000,top
"C186","100nF","C_0402_1005Metric",48.697800,178.564000,-90.000000,top
"C187","100nF","C_0402_1005Metric",41.357200,160.631600,0.000000,top
"C188","100nF","C_0402_1005Metric",59.924600,162.993800,180.000000,top
"C189","100nF","C_0402_1005Metric",46.284800,159.133000,90.000000,top
"C190","100nF","C_0402_1005Metric",59.924600,164.009800,180.000000,top
"C191","100nF","C_0402_1005Metric",53.092000,158.650400,90.000000,top
"C192","100nF","C_0402_1005Metric",49.688400,178.564000,-90.000000,top
"C193","47uF","CAP_TANTAL_A",40.265000,177.675000,180.000000,top
"C194","47uF","CAP_TANTAL_A",62.185200,159.761902,-90.000000,top
"C195","47uF","CAP_L5",66.503200,163.959000,180.000000,top
"C196","47uF","CAP_L5",50.983800,182.805800,180.000000,top
"C197","100nF","C_0402_1005Metric",107.497000,102.135400,-90.000000,top
"C198","10uF","C_0402_1005Metric",107.497000,104.675400,-90.000000,top
"C199","10nF","C_0402_1005Metric",106.354000,102.135400,-90.000000,top
"C200","100nF","C_0402_1005Metric",106.354000,104.675400,-90.000000,top
"C201","10nF","C_0402_1005Metric",93.019000,96.090200,90.000000,top
"C202","100nF","C_0402_1005Metric",92.765000,104.980200,90.000000,top
"C203","100nF","C_0402_1005Metric",91.876000,96.090200,90.000000,top
"C204","10uF","C_0402_1005Metric",86.796000,104.977600,90.000000,top
"C205","100nF","C_0402_1005Metric",107.502400,116.486400,-90.000000,top
"C206","10uF","C_0402_1005Metric",107.502400,119.026400,-90.000000,top
"C207","10nF","C_0402_1005Metric",106.359400,116.486400,-90.000000,top
"C208","100nF","C_0402_1005Metric",106.359400,119.026400,-90.000000,top
"C209","10nF","C_0402_1005Metric",93.024400,110.443800,90.000000,top
"C210","100nF","C_0402_1005Metric",92.770400,119.331200,90.000000,top
"C211","100nF","C_0402_1005Metric",91.881400,110.443800,90.000000,top
"C212","10uF","C_0402_1005Metric",86.801400,119.331200,90.000000,top
"C213","100nF","C_0402_1005Metric",172.649800,177.499800,90.000000,top
"C214","10nF","C_0402_1005Metric",173.691200,177.497200,90.000000,top
"C215","10uF","C_0402_1005Metric",173.691200,179.935600,-90.000000,top
"C216","100nF","C_0402_1005Metric",98.802024,30.156759,-90.000000,top
"C217","100nF","C_0402_1005Metric",85.162224,30.149199,-90.000000,top
"C218","10nF","C_0402_1005Metric",97.709824,30.156759,-90.000000,top
"C219","10nF","C_0402_1005Metric",84.070024,30.154399,-90.000000,top
"C220","10uF","C_0402_1005Metric",96.627600,30.151800,-90.000000,top
"C221","10uF","C_0402_1005Metric",82.987800,30.149200,-90.000000,top
"D1","B540C-13-F","B540C-13-F",224.663000,217.070400,0.000000,top
"D2","B540C-13-F","B540C-13-F",194.183000,217.070400,0.000000,top
"D3","B540C-13-F","B540C-13-F",163.703000,217.070400,0.000000,top
"D4","B540C-13-F","B540C-13-F",133.223000,217.070400,0.000000,top
"D5","BZT52C6V2S-7-F","BZT52C6V2S-7-F",13.976000,239.397000,-90.000000,top
"D6","B540C-13-F","B540C-13-F",31.750000,209.296000,0.000000,top
"D7","BAT54C","SOT-23",176.533700,177.979800,180.000000,top
"FB1","GZ2012D101TF","Ferrite_Bead_100",28.454000,226.570000,180.000000,top
"FB2","GZ2012D101TF","Ferrite_Bead_100",50.171000,197.134000,180.000000,top
"FB3","GZ2012D101TF","Ferrite_Bead_100",39.206000,193.565000,90.000000,top
"FB4","GZ2012D101TF","Ferrite_Bead_100",44.329000,193.575400,90.000000,top
"FB5","GZ2012D101TF","Ferrite_Bead_100",34.380000,193.565000,90.000000,top
"FB6","GZ2012D101TF","Ferrite_Bead_100",41.916000,193.575400,90.000000,top
"FB7","GZ2012D101TF","Ferrite_Bead_100",46.742000,193.575400,90.000000,top
"FB8","GZ2012D101TF","Ferrite_Bead_100",36.793000,193.565000,90.000000,top
"FB9","GZ2012D101TF","Ferrite_Bead_100",51.568000,205.869000,180.000000,top
"FB10","GZ2012D101TF","Ferrite_Bead_100",89.767800,106.222200,180.000000,top
"FB11","GZ2012D101TF","Ferrite_Bead_100",89.767800,103.809251,180.000000,top
"FB12","GZ2012D101TF","Ferrite_Bead_100",89.772182,120.728200,180.000000,top
"FB13","GZ2012D101TF","Ferrite_Bead_100",89.772182,118.315200,180.000000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",234.188000,210.820000,0.000000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",234.188000,4.318000,0.000000,top
"FID3","Fiducial","Fiducial_1mm_Mask2mm",7.620000,4.318000,0.000000,top
"J1","39281243","24_Pin_Connector_Vertical",231.850064,148.600025,90.000000,top
"J2","Conn_02x02_Top_Bottom","PinHeader_2x02_P2.54mm_Vertical",221.107000,173.101000,0.000000,top
"J3","TYPEC-304-ACP16","USB_TYPEC",4.315970,238.254041,-90.000000,top
"J4","906-151A1058D10200","USB_VERTICAL_BLUE",6.229000,214.439975,-90.000000,top
"J5","907-211A1019D10200","USB_2_CONNECTOR",8.760958,225.681273,-90.000000,top
"J6","TF-115K","MicroSD_Holder",233.144012,106.428000,90.000000,top
"J7","1-2199230-5","M2_Slot",63.379000,219.458000,90.000000,top
"J8","HYC90-SIM06-180","SIM-SMD_HYC90-SIM06-180",46.318089,222.632496,180.000000,top
"J9","HDMI_19PIN_043","HDMI_CONNECTOR",7.047004,202.934936,-90.000000,top
"J10","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",17.252600,117.903800,180.000000,top
"J11","2309410-1","SODIMM_DDR4",118.473000,168.391000,180.000000,top
"J12","Conn_02x03_Odd_Even","PinHeader_2x03_P1.27mm_Vertical",165.553200,157.629400,180.000000,top
"J13","Conn_01x09_Pin","PinHeader_1x09_P1.27mm_Vertical",136.505600,147.957000,90.000000,top
"J14","Conn_01x05_Pin","PinHeader_1x05_P2.54mm_Vertical",127.107600,149.354000,-90.000000,top
"J15","Conn_01x05_Pin","PinHeader_1x05_P2.54mm_Vertical",111.918400,149.354000,-90.000000,top
"J16","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",84.842000,146.793600,0.000000,top
"J17","RC01133","RJ45_SIMPLE",7.874891,112.519967,90.000000,top
"J18","10018784-10213TLF","PCIE_x16_Slot",45.450000,82.926000,0.000000,top
"J19","1-2199230-5","M2_Slot",32.766000,61.366400,90.000000,top
"J20","10018784-10213TLF","PCIE_x16_Slot",45.450000,42.286000,0.000000,top
"J21","Conn_01x06_Pin","PinHeader_1x06_P1.00mm_Vertical",205.854200,56.390000,90.000000,top
"J22","HY911130A","RJ45_MAGJACK_HY911130A",12.228971,185.695090,-90.000000,top
"J23","HY911130A","RJ45_MAGJACK_HY911130A",12.228971,166.899090,-90.000000,top
"J24","HY911130A","RJ45_MAGJACK_HY911130A",12.228971,148.103090,-90.000000,top
"J25","HC-SFP-01L","TH_HC-SFP-01L",23.027911,130.416032,0.000000,top
"J26","Conn_01x08_Pin","PinHeader_1x08_P1.00mm_Vertical",49.515800,154.205400,90.000000,top
"J27","Conn_01x06_Pin","PinHeader_1x06_P2.54mm_Vertical",71.913400,142.470600,-90.000000,top
"J28","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",192.309400,176.098200,90.000000,top
"J29","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",192.321100,161.444400,90.000000,top
"J30","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",202.799600,167.259000,180.000000,top
"J31","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",202.811300,152.630600,180.000000,top
"J32","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",17.908000,100.535200,90.000000,top
"J33","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",17.908000,107.418600,90.000000,top
"J34","Conn_02x05_Odd_Even","PinHeader_2x05_P2.54mm_Vertical",175.901000,159.666400,90.000000,top
"JP1","~","R_0805_2012Metric",215.773000,207.010000,-90.000000,top
"JP2","~","R_0805_2012Metric",185.293000,207.010000,-90.000000,top
"JP3","~","R_0805_2012Metric",154.813000,207.010000,-90.000000,top
"JP4","~","R_0805_2012Metric",124.333000,207.010000,-90.000000,top
"L1","6.8uH","Choke",215.773000,214.149400,-90.000000,top
"L2","6.8uH","Choke",185.293000,214.149400,-90.000000,top
"L3","6.8uH","Choke",154.813000,214.149400,-90.000000,top
"L4","6.8uH","Choke",124.333000,214.149400,-90.000000,top
"M1","Fan_4pin","FanPinHeader_1x04_P2.54mm_Vertical",162.718400,194.693000,-90.000000,top
"M2","Fan_4pin","FanPinHeader_1x04_P2.54mm_Vertical",203.739400,143.486600,180.000000,top
"OSC1","OT322525MJBA4SL","25MHZ_OSCILLATOR",49.903032,201.917076,90.000000,top
"Q1","2N7002","NMOS_2N7002",224.044000,122.996962,0.000000,top
"Q2","2N7002","NMOS_2N7002",224.107000,130.807962,-90.000000,top
"Q3","BSS138","SOT-23",30.859000,194.707000,90.000000,top
"Q4","BSS138","SOT-23",27.057000,194.675000,90.000000,top
"Q5","BSS138","SOT-23",91.471400,136.704800,-90.000000,top
"Q6","BSS138","SOT-23",75.596400,136.702500,-90.000000,top
"Q7","BSS138","SOT-23",86.188200,136.704800,-90.000000,top
"Q8","BSS138","SOT-23",80.905000,136.702500,-90.000000,top
"Q9","BSS138","SOT-23",163.300300,174.022000,0.000000,top
"Q10","BSS138","SOT-23",163.300300,168.434000,0.000000,top
"Q11","BSS138","SOT-23",73.742200,148.185600,-90.000000,top
"Q12","BSS138","SOT-23",68.205000,148.185600,-90.000000,top
"Q13","BSS138","SOT-23",62.667800,148.185600,-90.000000,top
"Q14","BSS138","SOT-23",57.130600,148.185600,-90.000000,top
"Q15","BSS138","SOT-23",191.575100,172.364400,0.000000,top
"Q16","BSS138","SOT-23",191.572800,167.157400,0.000000,top
"Q17","BSS138","SOT-23",191.584500,157.715600,0.000000,top
"Q18","BSS138","SOT-23",191.584500,152.529000,0.000000,top
"Q19","BSS138","SOT-23",120.023300,102.618000,180.000000,top
"Q20","BSS138","SOT-23",120.021000,97.792000,180.000000,top
"Q21","BSS138","SOT-23",120.021000,117.350000,180.000000,top
"Q22","BSS138","SOT-23",120.021000,112.524000,180.000000,top
"Q23","BSS138","SOT-23",162.718400,181.205600,90.000000,top
"Q24","BSS138","SOT-23",191.575100,147.982400,0.000000,top
"R1","1k","R_1206_3216Metric",10.166000,88.648000,-90.000000,top
"R2","39.2k","R_0603_1608Metric",220.599000,225.566400,180.000000,top
"R3","11.3k","R_0603_1608Metric",190.119000,225.554000,180.000000,top
"R4","20.5k","R_0603_1608Metric",159.639000,225.554000,180.000000,top
"R5","25.5k","R_0603_1608Metric",129.159000,225.554000,180.000000,top
"R6","10.2k","R_0603_1608Metric",215.456000,227.344400,0.000000,top
"R7","41.2k","R_0603_1608Metric",216.281000,224.804400,-90.000000,top
"R8","10.2k","R_0603_1608Metric",184.965853,227.332000,0.000000,top
"R9","27.1k","R_0603_1608Metric",185.801000,224.792000,-90.000000,top
"R10","10.2k","R_0603_1608Metric",154.485853,227.332000,0.000000,top
"R11","8.2k","R_0603_1608Metric",155.321000,224.792000,-90.000000,top
"R12","10.2k","R_0603_1608Metric",124.005853,227.332000,0.000000,top
"R13","4.81k","R_0603_1608Metric",124.841000,224.792000,-90.000000,top
"R14","1k","R_0603_1608Metric",210.357033,16.757494,0.000000,top
"R15","0R","R_0603_1608Metric",217.430000,179.580000,0.000000,top
"R16","10k","R_0603_1608Metric",217.424000,177.546000,0.000000,top
"R17","10k","R_0603_1608Metric",217.424000,169.545000,0.000000,top
"R18","0R","R_0603_1608Metric",229.698200,179.580000,180.000000,top
"R19","1k","R_0603_1608Metric",218.439998,135.519670,-90.000000,top
"R20","100k","R_0603_1608Metric",216.661998,135.519670,-90.000000,top
"R21","1k","R_0603_1608Metric",223.901000,157.734000,0.000000,top
"R22","10k","R_0603_1608Metric",225.235000,120.523000,180.000000,top
"R23","100","R_0603_1608Metric",225.235000,118.745000,180.000000,top
"R24","10k","R_0603_1608Metric",225.123000,127.251962,90.000000,top
"R25","100","R_0603_1608Metric",223.091000,127.251962,90.000000,top
"R26","100","R_0603_1608Metric",223.282000,133.347962,0.000000,top
"R27","100k","R_0402_1005Metric",109.736000,208.663000,0.000000,top
"R28","100k","R_0402_1005Metric",48.393000,236.097000,90.000000,top
"R29","887k","R_0402_1005Metric",8.386000,235.841000,0.000000,top
"R30","28.7k","R_0402_1005Metric",49.536000,236.097000,90.000000,top
"R31","100k","R_0402_1005Metric",110.752000,207.520000,0.000000,top
"R32","10k","R_0402_1005Metric",41.537000,235.333000,0.000000,top
"R33","10k","R_0402_1005Metric",28.962000,219.837000,-90.000000,top
"R34","12k","R_0402_1005Metric",21.469000,221.871000,0.000000,top
"R35","10k","R_0402_1005Metric",27.311000,221.998000,-90.000000,top
"R36","10k","R_0402_1005Metric",31.248000,219.839000,-90.000000,top
"R37","10k","R_0402_1005Metric",28.200000,216.029000,180.000000,top
"R38","10k","R_0402_1005Metric",28.200000,215.013000,180.000000,top
"R39","1M","R_0402_1005Metric",19.691000,229.237000,45.000000,top
"R40","10k","R_0402_1005Metric",22.612000,212.727000,90.000000,top
"R41","10k","R_0402_1005Metric",26.041000,213.362000,0.000000,top
"R42","0R","R_0402_1005Metric",56.769000,215.771000,-90.000000,top
"R43","0R","R_0402_1005Metric",56.769000,227.713000,-90.000000,top
"R44","100k","R_0402_1005Metric",65.913000,206.629000,180.000000,top
"R45","51R","R_0402_1005Metric",36.122800,215.343200,180.000000,top
"R46","20k","R_0402_1005Metric",36.632800,228.424200,-90.000000,top
"R47","1.8k","R_0402_1005Metric",30.859000,192.278000,180.000000,top
"R48","1.8k","R_0402_1005Metric",27.121038,192.278000,180.000000,top
"R49","4.7k","R_0402_1005Metric",30.859000,197.614000,90.000000,top
"R50","4.7k","R_0402_1005Metric",27.049000,197.614000,90.000000,top
"R51","100k","R_0402_1005Metric",47.758000,208.028000,-90.000000,top
"R52","6k","R_0402_1005Metric",38.360000,210.949000,0.000000,top
"R53","1.8k","R_0402_1005Metric",91.039600,139.346400,0.000000,top
"R54","1.8k","R_0402_1005Metric",75.164600,139.346400,0.000000,top
"R55","1.8k","R_0402_1005Metric",85.756400,139.346400,0.000000,top
"R56","1.8k","R_0402_1005Metric",80.473200,139.346400,0.000000,top
"R57","4.7k","R_0402_1005Metric",93.884400,135.257000,-90.000000,top
"R58","4.7k","R_0402_1005Metric",78.009400,135.255000,-90.000000,top
"R59","4.7k","R_0402_1005Metric",88.601200,135.255000,-90.000000,top
"R60","4.7k","R_0402_1005Metric",83.318000,135.255000,-90.000000,top
"R61","10R","R_0402_1005Metric",50.143600,118.112000,0.000000,top
"R62","10R","R_0402_1005Metric",50.145600,119.382000,0.000000,top
"R63","10R","R_0402_1005Metric",50.145600,113.692400,0.000000,top
"R64","10R","R_0402_1005Metric",50.145600,114.962400,0.000000,top
"R65","120R","R_0603_1608Metric",45.726000,118.747000,90.000000,top
"R66","120R","R_0603_1608Metric",45.726000,114.327400,-90.000000,top
"R70","1.8k","R_0402_1005Metric",161.314800,171.736000,0.000000,top
"R71","1.8k","R_0402_1005Metric",161.314800,170.720000,0.000000,top
"R72","4.7k","R_0402_1005Metric",164.745800,171.736000,0.000000,top
"R73","4.7k","R_0402_1005Metric",164.745800,170.720000,0.000000,top
"R74","100k","R_0402_1005Metric",88.601200,153.418000,0.000000,top
"R75","100k","R_0402_1005Metric",87.026400,151.284400,180.000000,top
"R76","10k","R_0402_1005Metric",87.024400,152.351200,180.000000,top
"R77","1.8k","R_0402_1005Metric",163.448400,165.434800,90.000000,top
"R78","330R","R_0402_1005Metric",83.521200,149.201600,0.000000,top
"R79","0R","R_0402_1005Metric",55.454200,74.676000,-90.000000,top
"R80","0R","R_0402_1005Metric",50.419000,74.676000,90.000000,top
"R81","0R","R_0402_1005Metric",49.276000,74.676000,90.000000,top
"R82","4.7k","R_0402_1005Metric",63.455200,74.676000,90.000000,top
"R83","0R","R_0402_1005Metric",39.878000,65.405000,0.000000,top
"R84","47k","R_0402_1005Metric",39.878000,53.086000,180.000000,top
"R85","47k","R_0402_1005Metric",39.878000,54.102000,180.000000,top
"R86","0R","R_0402_1005Metric",39.878000,61.595000,180.000000,top
"R87","0R","R_0402_1005Metric",39.878000,62.611000,180.000000,top
"R88","0R","R_0402_1005Metric",55.454200,34.036000,-90.000000,top
"R89","0R","R_0402_1005Metric",50.419000,34.036000,90.000000,top
"R90","0R","R_0402_1005Metric",49.276000,34.036000,90.000000,top
"R91","4.7k","R_0402_1005Metric",63.455200,34.036000,90.000000,top
"R92","330R","R_0402_1005Metric",229.420800,35.968400,180.000000,top
"R93","330R","R_0402_1005Metric",226.703000,35.358800,180.000000,top
"R94","330R","R_0402_1005Metric",226.703000,36.476400,180.000000,top
"R95","330R","R_0402_1005Metric",229.416800,37.060600,180.000000,top
"R96","330R","R_0402_1005Metric",226.703000,37.594000,180.000000,top
"R97","330R","R_0402_1005Metric",229.418800,38.176200,180.000000,top
"R98","330R","R_0402_1005Metric",226.701000,38.711600,180.000000,top
"R99","330R","R_0402_1005Metric",229.418800,39.422800,180.000000,top
"R100","475R 1%","R_0402_1005Metric",210.007200,50.954400,-90.000000,top
"R101","1.43k 1%","R_0402_1005Metric",203.561600,40.771000,-90.000000,top
"R102","5.1k","R_0402_1005Metric",208.311400,25.859200,90.000000,top
"R103","5.1k","R_0402_1005Metric",210.749800,25.859200,90.000000,top
"R104","330R","R_0402_1005Metric",212.985000,25.861200,90.000000,top
"R105","330R","R_0402_1005Metric",215.753600,25.859200,90.000000,top
"R106","330R","R_0402_1005Metric",218.039600,25.861200,90.000000,top
"R107","330R","R_0402_1005Metric",226.701000,42.445400,180.000000,top
"R108","5.1k","R_0402_1005Metric",226.701000,34.241200,180.000000,top
"R109","5.1k","R_0402_1005Metric",226.703000,39.829200,180.000000,top
"R110","5.1k","R_0402_1005Metric",229.418800,40.591200,180.000000,top
"R111","5.1k","R_0402_1005Metric",226.701000,41.353200,180.000000,top
"R112","330R","R_0402_1005Metric",225.708400,45.925200,180.000000,top
"R113","5.1k","R_0402_1005Metric",226.699000,43.639200,180.000000,top
"R114","5.1k","R_0402_1005Metric",201.326400,25.859200,90.000000,top
"R115","5.1k","R_0402_1005Metric",202.342400,25.859200,90.000000,top
"R116","5.1k","R_0402_1005Metric",198.684800,28.246800,-90.000000,top
"R117","330R","R_0402_1005Metric",219.309600,25.861200,90.000000,top
"R118","5.1k","R_0402_1005Metric",214.001000,25.859200,90.000000,top
"R119","330R","R_0402_1005Metric",216.769600,25.861200,90.000000,top
"R120","330R","R_0402_1005Metric",220.655800,50.471800,0.000000,top
"R121","5.1k","R_0402_1005Metric",232.718800,59.031600,0.000000,top
"R122","5.1k","R_0402_1005Metric",232.724800,60.047600,0.000000,top
"R123","33R","R_0402_1005Metric",211.023200,50.954400,-90.000000,top
"R124","33R","R_0402_1005Metric",212.039200,50.954400,-90.000000,top
"R125","33R","R_0402_1005Metric",214.204200,54.612000,-90.000000,top
"R126","33R","R_0402_1005Metric",215.214200,54.612000,-90.000000,top
"R127","33R","R_0402_1005Metric",217.480800,56.671400,-90.000000,top
"R128","33R","R_0402_1005Metric",218.496800,56.671400,-90.000000,top
"R129","33R","R_0402_1005Metric",220.528800,58.625200,-90.000000,top
"R130","33R","R_0402_1005Metric",221.544800,58.625200,-90.000000,top
